==== DQN Training Boxes Positions ====

==== Episode 1 START ====
    Step 18 | Box 10 placed at (0, 1, 0) rot=4, size=(1, 2, 10)
    Step 21 | Box 40 placed at (3, 5, 9) rot=0, size=(4, 5, 1)
    Step 27 | Box 2 placed at (9, 3, 7) rot=0, size=(1, 5, 3)
    Step 30 | Box 29 placed at (7, 0, 0) rot=5, size=(1, 4, 3)
    Step 32 | Box 35 placed at (7, 1, 7) rot=3, size=(2, 2, 3)
    Step 40 | Box 7 placed at (1, 0, 2) rot=1, size=(2, 2, 2)
    Step 44 | Box 17 placed at (2, 2, 9) rot=4, size=(2, 3, 1)
    Step 49 | Box 37 placed at (3, 0, 0) rot=0, size=(1, 2, 2)
==== Episode 6 END ====
==== Episode 7 START ====
    Step 0 | Box 33 placed at (1, 6, 0) rot=3, size=(4, 2, 10)
    Step 1 | Box 0 placed at (8, 1, 0) rot=2, size=(2, 5, 6)
    Step 2 | Box 24 placed at (1, 0, 0) rot=4, size=(2, 5, 5)
    Step 3 | Box 25 placed at (6, 2, 0) rot=4, size=(2, 5, 5)
    Step 4 | Box 15 placed at (5, 2, 0) rot=4, size=(1, 5, 8)
    Step 5 | Box 2 placed at (4, 0, 0) rot=5, size=(1, 5, 6)
    Step 6 | Box 3 placed at (3, 1, 8) rot=2, size=(6, 5, 1)
    Step 7 | Box 6 placed at (7, 7, 0) rot=4, size=(1, 3, 10)
    Step 8 | Box 11 placed at (1, 0, 9) rot=1, size=(5, 6, 1)
    Step 9 | Box 12 placed at (0, 0, 0) rot=2, size=(1, 5, 6)
    Step 10 | Box 47 placed at (8, 7, 0) rot=3, size=(2, 3, 5)
    Step 11 | Box 5 placed at (0, 2, 6) rot=1, size=(1, 6, 4)
    Step 12 | Box 9 placed at (9, 1, 6) rot=5, size=(1, 6, 4)
    Step 13 | Box 26 placed at (8, 7, 5) rot=5, size=(2, 3, 4)
    Step 18 | Box 10 placed at (6, 8, 0) rot=1, size=(1, 2, 10)
